448,119,7.8
448,20,7.8
448,399,4.9
448,20,7.1
448,119,4.6
448,399,2.1
448,399,5
448,476,5
448,264,3.6
448,399,5
448,264,4.6
448,399,2.1
448,399,4.6
448,399,2.1
448,20,2.1
448,399,2.1
448,399,2.1
448,264,2.1
448,399,2.1
448,264,4.6
448,264,5
448,264,5
448,399,4.9
448,399,6.6
448,399,4.9
448,200,4.9
448,189,7.8
448,399,4.9
448,189,6.9
448,362,4.7
448,399,5
448,20,4.9
448,119,10
448,20,4.9
448,264,3.6
448,399,4.9
448,20,4.9
448,119,9
448,20,7.8
448,399,4.6
448,399,5
448,399,7.8
448,399,4.9
448,399,4.9
448,264,7.5
448,399,4.6
448,399,2.1
448,17,1.2
448,189,4
448,119,7.5
448,399,7.5
448,399,7.8
448,362,6.9
448,119,6.9
448,399,4.4
448,119,4.9
448,399,4.9
448,20,4.7
448,20,7.8
448,189,2.1
448,399,4.9
448,119,4.6
448,16,5
448,189,7.8
448,20,4.9
448,264,4.4
448,200,1.9
448,399,6
448,310,6.8
448,20,7.8
448,264,7.2
448,189,7.1
448,59,6.9
448,264,4.9
448,399,4
448,399,4.9
448,399,7.8
448,119,6.8
448,189,7.2
448,119,6.9
448,119,7.2
448,16,2.1
448,200,7.2
448,264,2.1
448,399,7.8
448,399,4.7
448,399,7.2
448,20,2.1
448,20,2.1
448,59,4.4
448,119,7.8
448,200,4.9
448,94,7.2
448,20,2.1
448,362,6.9
448,399,4.9
444,119,4.1
448,94,6.9
448,399,7.2
450,94,7.5
448,399,7.8
448,264,3.6
448,189,7.2
448,362,4.7
448,20,4.9
448,20,7.8
448,20,7.2
448,189,4.9
448,264,6.9
445,20,5
445,20,7.8
448,399,4.9
448,119,7.2
448,189,6.6
448,399,4.9
448,189,7.1
448,119,10
448,264,7.2
448,189,7.8
448,264,4.6
448,264,2.1
448,399,4.9
448,189,4.9
446,200,4
448,399,4.9
448,399,4.7
448,264,4.9
448,119,7.2
448,119,9.3
448,200,4.7
448,264,4.6
448,399,4.9
448,362,4
448,119,8.3
448,20,4.9
448,200,4.7
448,264,4.6
448,287,7.8
448,20,7.8
448,119,7.8
448,20,7.8
448,119,7.8
448,399,7.8
448,399,4.9
448,119,10
448,362,6.9
448,399,4.9
448,119,4.9
