9657,119,2
9657,20,2
9657,399,1
9657,119,1
9657,476,1
9657,264,1
9657,20,1
9657,399,2
9657,200,1
9657,189,2
9657,362,1
9657,119,3
9657,264,2
9657,17,1
9657,189,1
9657,362,2
9657,16,1
9657,310,2
9657,59,2
9657,200,2
9657,59,1
9657,94,2
1550,119,1
17924,94,2
4672,20,1
4672,20,2
8497,200,1
9657,287,2
9070,119,2
9657,16,2
9070,399,2
9070,362,2
9070,310,1
9070,264,2
9070,16,2
9070,399,1
9657,20,3
17924,399,1
17924,264,1
9657,189,3
16845,362,1
9657,287,1
9657,310,1
9657,134,2
9657,362,3
7943,200,1
8348,16,1
8348,200,1
7974,79,1
19001,20,3
5878,399,1
19001,399,1
19049,20,1
7943,399,1
1359,399,1
7943,362,1
19001,399,2
7943,264,2
8347,20,2
19003,20,2
12415,119,1
11894,119,3
19000,119,3
19030,119,3
11894,264,2
19001,119,3
19001,189,3
19003,119,2
19049,264,1
11894,119,1
19001,79,1
4729,119,2
18257,119,1
7943,119,3
7943,20,1
5872,94,3
5872,119,3
7943,94,3
11894,399,1
11894,94,3
12414,200,1
8173,119,1
4588,119,3
19001,264,3
19008,189,2
19001,287,1
7943,94,2
5872,20,1
7796,119,3
19049,94,2
19001,264,2
19001,189,2
16513,119,3
7943,20,2
7943,119,2
7943,79,2
11894,189,3
319,94,3
19001,20,2
4696,119,2
7943,119,1
19003,94,1
11917,94,3
19001,94,3
5120,20,1
5120,119,2
4304,20,3
19003,264,2
19001,119,2
19030,119,2
18260,94,3
5872,20,3
11894,20,3
4,119,3
4,200,2
19029,119,3
8342,362,3
5878,189,2
19048,94,2
18251,399,1
19001,264,1
7943,399,3
2090,94,3
19159,20,2
19049,119,2
19048,399,2
5872,119,2
19018,119,2
7943,79,1
19001,16,2
11894,399,3
14223,399,3
7943,16,3
19534,119,3
19048,264,2
8289,119,3
15596,79,1
8348,264,3
18249,20,3
10885,20,3
19048,79,1
19046,264,2
19030,119,1
10369,119,3
7943,362,2
7943,399,2
4693,119,3
7943,20,3
12414,119,3
4693,119,2
7943,189,3
12411,79,1
7943,78,2
18249,119,3
16398,119,2
18259,22,1
18259,78,2
8543,200,1
19030,20,2
19024,119,1
19000,119,1
18256,78,2
4634,189,3
19048,94,3
465,310,2
5924,310,1
19034,264,1
8773,119,3
19001,200,2
19030,189,1
11894,255,2
319,119,1
14223,20,2
19003,119,3
19003,94,3
7974,264,2
8347,94,3
469,94,3
18649,119,3
19033,200,3
4310,200,1
4310,119,3
19000,287,2
4310,189,3
5873,94,3
11908,399,3
18070,94,3
14822,20,2
18257,119,3
19049,264,2
7943,79,3
18999,119,3
19001,94,2
14091,399,3
19159,119,3
7943,94,1
19000,94,3
19000,264,3
1023,399,1
18999,20,2
19000,20,1
19000,20,2
7974,189,3
12414,264,2
3783,399,2
19000,20,3
8342,20,2
5878,22,1
19913,22,1
19012,94,3
11918,399,3
19000,200,2
5878,79,1
19030,94,3
11912,94,2
19022,119,3
19159,399,2
7943,284,2
18250,119,3
11894,20,2
19028,119,3
19029,255,3
19030,200,3
4634,119,3
4634,399,3
8342,264,3
8342,200,1
8342,399,3
19049,94,3
4,79,1
19048,200,1
12350,94,3
19021,20,3
11894,79,1
19001,399,3
11911,287,2
80,200,1
19043,189,2
18999,287,3
11903,264,2
11903,399,2
11903,189,2
11903,119,3
8342,399,2
5872,399,3
19044,399,2
19034,20,1
8335,189,1
7974,20,1
7974,255,3
19049,189,1
8342,399,1
4633,20,2
19000,399,1
19034,255,1
4448,399,1
19030,20,1
19043,362,1
4,310,3
18999,200,1
11899,399,1
19048,119,2
16398,119,3
12414,399,1
8342,79,1
8342,94,2
10748,189,1
19024,200,1
