5919,26,7,869011200
3397,33,7,864864000
3397,33,7,864864000
5916,35,7,864604800
947,39,7,862444800
947,39,7,862444800
6655,41,10,860371200
2670,63,7,864604800
1063,107,7,862444800
2699,111,5,843091200
7140,120,7,894153600
6248,195,5,650592000
3936,209,5,932688000
3001,236,7,886291200
3001,236,7,886291200
6243,290,7,859852800
3905,460,7,852076800
4349,590,7,946944000
2209,667,4,942019200
3848,720,10,929491200
6237,818,10,944784000
2209,849,7,958521600
5794,882,7,904176000
437,894,7,937180800
6242,997,7,863481600
6239,1030,7,864000000
6243,1209,7,920851200
6268,1321,4,866678400
2870,1335,7,945734400
5598,1599,7,951523200
313,1616,7,951609600
1023,1647,7,949536000
5597,1677,10,956534400
6654,1713,7,955843200
6654,1713,7,955843200
6654,1713,7,955843200
6654,1713,7,955843200
6654,1713,7,955843200
3883,1733,5,958694400
3880,1830,2,959644800
3880,1830,2,959644800
1058,1846,5,959040000
345,1898,7,959817600
2600,1999,10,962928000
2600,1999,10,962928000
2600,1999,10,962928000
2600,1999,10,962928000
4569,2000,5,962928000
2313,2091,5,963792000
2600,2125,10,972000000
5916,2221,7,972000000
1024,2263,10,974160000
1024,2263,10,974160000
1024,2263,10,974160000
1024,2263,10,974160000
1024,2263,10,974160000
3849,2303,7,977184000
3849,2303,7,977184000
3849,2303,7,977184000
3849,2303,7,977184000
1024,2334,10,977184000
1024,2334,10,977184000
1024,2334,10,977184000
1024,2334,10,977184000
1090,2361,7,977184000
3405,2366,7,977184000
4875,2384,10,977184000
2600,2389,2,977184000
4650,2404,4,977184000
2210,2410,7,977184000
5598,2426,7,976492800
5598,2426,7,976492800
2601,2445,7,976492800
1089,2485,6,976492800
3905,2505,10,978998400
4759,2511,3,978998400
948,2518,7,978998400
5599,2540,7,978998400
5599,2540,7,978998400
2769,2549,7,978998400
4811,2601,7,978998400
5597,2633,10,947289600
2899,2670,10,981936000
2899,2670,10,981936000
2899,2670,10,981936000
2899,2670,10,981936000
2750,2689,10,981936000
458,2700,2,982281600
1510,2713,10,981936000
3306,2726,7,982281600
2208,2753,7,981936000
6241,2755,1,981936000
6241,2755,1,981936000
2861,2770,7,984355200
5740,2772,7,984355200
6237,2775,7,984355200
5400,2796,5,984355200
5400,2796,5,984355200
4572,2804,10,984355200
645,2825,7,988848000
645,2826,10,988848000
3646,2827,2,985564800
2770,2828,2,985564800
2770,2828,2,985564800
2940,2878,7,991440000
2219,2879,7,991440000
3903,2899,10,993600000
3903,2899,10,993600000
3903,2899,10,993600000
6857,2930,5,988848000
2610,2968,4,991440000
2610,2968,4,991440000
3850,2988,7,993600000
1498,3064,10,992822400
5916,3134,7,993600000
4436,3135,5,994032000
4654,3148,10,995673600
3840,3149,10,995673600
1511,3192,7,1007078400
2600,3424,10,1008115200
2600,3424,10,1008115200
2600,3424,10,1008115200
2600,3424,10,1008115200
2600,3424,10,1008115200
5917,3426,10,1007596800
5917,3426,10,1007596800
4556,3428,10,1007596800
2600,3592,7,999475200
5637,3602,7,995846400
2878,3633,7,996105600
2020,3690,10,993081600
4806,3931,7,995241600
6246,4189,10,1009756800
6246,4189,10,1009756800
7232,4221,4,1027641600
407,4237,10,1014768000
407,4237,10,1014768000
6184,4350,7,1017100800
540,4438,5,1022630400
438,4570,7,1025654400
3797,4820,7,1029110400
5432,4911,5,1029110400
4655,5129,7,1033689600
6699,5223,7,1033689600
5774,5283,7,1032825600
5774,5283,7,1032825600
5774,5283,7,1032825600
3797,5286,7,1032825600
5889,5455,10,1046995200
3734,5467,5,1040688000
2129,5475,10,1040601600
