1454,119,7
1454,20,7
1454,399,4
1453,20,7
1456,119,4
1454,399,2
1456,399,5
1456,476,5
1456,264,3
1453,399,5
1456,264,4
1334,399,2
1346,399,4
1326,399,2
1326,20,2
1335,399,2
1343,399,2
1343,264,2
1535,399,2
1348,264,4
1535,264,5
1348,264,5
1349,399,4
1326,399,6
1535,399,4
1342,200,4
1535,189,7
1350,399,4
1456,189,6
1353,362,4
1352,399,5
1456,20,4
1351,119,10
1514,20,4
1356,264,3
1456,119,9
1456,20,7
1362,399,4
1361,399,5
1535,399,7
1455,399,4
1541,399,4
1535,264,7
1334,399,4
1456,17,1
1326,189,4
1535,119,7
1370,399,7
1374,399,7
1364,362,6
1455,119,6
1372,399,4
1535,119,4
1381,20,4
1513,20,7
1386,189,2
1335,399,4
1389,119,4
1350,16,5
1382,20,4
1388,264,4
1383,200,1
1391,399,6
1330,310,6
1388,20,7
1324,264,7
1393,189,7
1513,59,6
1333,264,4
1456,399,4
1367,399,4
1517,399,7
1396,119,6
1398,189,7
1395,119,6
1395,119,7
1535,16,2
1395,200,7
1395,264,2
1456,399,7
1392,399,7
1525,20,2
1335,59,4
1384,119,7
1455,200,4
1401,94,7
1387,20,2
1535,362,6
1306,119,4
1456,94,6
1404,399,7
1562,94,7
1405,399,7
1394,264,3
1373,189,7
1455,362,4
1406,20,4
1535,189,4
1456,264,6
1307,20,5
1307,20,7
1323,119,7
1409,189,7
1456,119,10
1410,264,7
1410,189,7
1379,264,4
1412,264,2
1456,189,4
1308,200,4
1409,399,4
1399,399,4
1411,264,4
1410,119,7
1407,119,9
1323,200,4
1391,399,4
1325,362,4
1328,119,8
1412,20,4
1413,264,4
1323,287,7
1413,20,7
1419,119,7
1419,20,7
1415,399,7
1417,399,4
1455,119,10
1537,362,6
1542,399,4
1546,119,4
1417,399,1
1419,189,4
1403,399,4
1402,399,4
1400,264,7
1419,264,2
1420,399,4
1414,119,10
1419,399,4
1420,189,4
1422,119,4
1455,264,2
1423,20,4
1423,399,4
1424,189,4
1535,264,3
1323,264,3
1422,20,4
1421,399,4
1455,16,4
1453,16,4
1455,264,4
1427,189,5
1558,119,7
1394,20,4
1418,264,4
1550,362,4
1309,119,7
1557,119,7
1455,362,6
1455,119,7
1520,16,7
1429,119,6
1455,20,4
1518,362,1
1309,119,6
1430,189,7
1431,200,2
1309,399,7
1455,264,7
1455,189,4
1453,200,4
1526,200,4
1515,119,4
1455,310,7
1367,264,4
1428,399,7
1309,362,6
1367,264,1
1533,200,4
1453,399,7
1455,287,7
1309,310,4
1455,189,7
1309,264,7
1529,399,7
1408,264,6
1455,264,6
1434,119,7
1455,362,7
1455,20,7
1455,399,7
1367,20,7
1394,399,7
1513,264,6
1310,16,6
1309,399,4
1407,20,7
1436,119,7
1372,399,7
1455,362,1
1435,264,1
1455,119,5
1455,399,2
1434,200,2
1455,264,1
1535,20,1
1441,94,7
1455,20,10
1455,200,1
1455,200,7
1455,20,2
1455,189,3
1455,20,6
1455,200,2
1455,189,1
1455,189,6
1455,20,8
1513,189,7
1455,119,4
1440,189,4
1444,399,4
1535,399,6
1439,200,1
1543,362,7
1455,189,2
1513,200,5
1444,119,4
1535,200,1
1535,119,6
1444,264,1
1535,20,2
1455,362,5
1434,399,5
1445,399,4
1538,264,3
1455,119,1
1446,200,1
1446,20,5
1446,20,2
1446,200,2
1328,200,2
1535,20,6
1535,200,2
1535,200,5
1446,189,4
1446,119,4
1446,399,4
1535,189,6
1535,20,7
1535,20,4
1561,399,3
1561,264,3
1446,189,6
1437,362,5
1535,119,5
1458,264,3
1552,119,7
1449,362,4
1328,264,2
1450,189,2
1450,264,2
1450,264,7
1530,200,1
1458,200,2
1535,189,8
1448,119,7
1448,20,4
1552,189,4
1539,189,4
1535,119,2
1458,20,4
1535,399,5
1458,264,4
1458,189,4
1458,399,4
1521,20,4
1458,189,10
1311,189,4
1458,119,4
1552,119,5
1552,20,5
1552,20,4
1335,119,6
1552,264,4
1474,119,4
1460,189,4
1471,264,4
1470,189,4
1328,20,2
1552,399,7
1328,119,7
1446,20,7
1446,20,6
1418,264,7
1461,189,4
1459,189,7
1447,264,6
1471,399,4
1553,399,7
1435,20,4
1316,16,4
1473,264,4
1560,362,3
1554,264,5
1388,399,5
1479,399,4
1317,189,7
1482,119,5
1477,264,4
1475,264,7
1462,119,5
1482,20,7
1472,119,6
1480,264,1
1477,264,7
1318,362,4
1475,189,4
1478,189,4
1481,399,4
1482,20,2
1475,119,4
1482,119,7
1472,189,7
1369,399,5
1482,362,6
1476,287,1
1451,362,5
1555,20,4
1486,399,6
1316,362,1
1494,200,2
1502,264,4
1484,189,4
1499,310,4
1501,310,4
1489,200,2
1489,200,1
1472,399,7
1485,20,4
1488,264,4
1499,200,2
1396,20,4
1498,20,5
1498,399,5
1498,189,6
1457,119,4
1497,264,6
1500,20,4
1490,119,4
1483,119,6
1497,200,1
1496,362,6
1504,189,7
1504,264,3
1500,20,7
1500,399,6
1484,119,4
1503,362,4
1505,119,6
1505,399,6
1505,20,6
1497,20,4
1504,20,6
1503,264,7
1504,119,6
1491,200,4
1506,119,4
1506,264,2
1506,264,4
1506,264,1
1507,264,3
1508,264,6
1437,399,7
1495,119,4
1507,189,7
1438,119,4
1509,20,3
1507,399,2
1507,20,4
1510,399,2
1512,20,4
1512,119,2
1508,119,2
1504,399,1
1510,119,7
1510,134,6
1511,20,6
1511,119,4
1511,119,5
1511,20,4
1511,20,1
1511,264,3
1556,200,4
1548,200,4
1494,362,4
1511,399,5
1511,399,4
1312,189,7
1314,20,6
1511,20,3
1511,264,6
1511,264,7
1509,399,6
1511,399,7
1509,310,5
1511,119,6
1511,189,4
1511,189,6
1511,200,4
1511,189,7
1511,310,4
1511,20,7
1494,119,6
1556,399,4
1313,399,4
1487,20,7
1511,189,5
1511,264,4
1511,362,4
1511,119,7
1511,20,5
1511,362,9
1511,310,5
1511,399,2
1511,264,2
1511,362,6
1444,119,6
1464,264,4
1463,399,1
1463,399,2
1464,399,1
1511,119,2
1511,200,1
1511,20,10
1511,362,7
1465,20,4
1469,119,6
1467,119,6
1467,119,4
1442,119,7
1467,189,4
1511,59,6
1467,399,4
1467,20,4
1469,399,4
1468,119,7
1468,399,7
1466,200,6
1313,264,4
1313,362,4
1718,200,4
1761,16,5
1761,200,5
1736,79,2
1995,20,10
1661,399,5
1995,399,5
2107,20,2
1706,399,2
1706,399,5
1599,399,5
1721,362,5
1995,399,7
1725,264,7
1757,20,7
2010,20,7
1863,119,4
1820,119,9
1973,119,9
2058,119,9
1812,264,7
1997,119,9
1993,189,9
2010,119,7
2111,264,4
1820,119,5
1989,79,4
1627,119,7
1952,119,5
1702,119,10
1730,20,2
1637,94,9
1637,119,9
1721,94,9
1820,399,4
1820,94,9
1698,94,9
1702,20,4
1704,399,2
1699,362,5
1858,200,4
1740,119,4
1620,119,10
1995,264,10
1995,399,2
2031,189,7
1995,119,9
1995,287,4
1721,119,10
1724,200,4
1721,94,7
1730,200,4
1642,20,5
1694,119,9
1702,20,5
2111,94,7
1995,264,7
1993,189,7
1923,119,9
1721,20,7
1728,20,7
1725,119,7
1728,79,6
1805,189,9
1805,94,9
1793,94,9
1578,94,9
1993,20,7
1626,119,6
1721,20,5
1728,119,5
2004,94,5
1814,94,9
1844,94,9
1993,94,9
1721,119,7
1702,119,9
1630,20,5
1630,119,7
1615,20,9
2003,264,6
1992,119,7
2052,119,7
1996,399,6
1995,119,6
1992,399,7
1720,20,4
1959,94,9
1640,20,9
1793,20,9
1992,119,9
1563,119,9
1563,200,7
2050,119,9
1797,94,10
1747,362,9
1820,20,9
1818,20,9
1710,94,9
1667,189,7
2095,94,7
1947,399,5
1988,264,4
1710,399,9
1605,94,9
2118,20,6
2108,119,6
1992,264,7
2102,399,7
1635,119,6
1801,399,4
2040,119,7
1695,79,4
1988,16,7
1820,399,9
1998,119,10
1880,399,9
1710,16,9
1710,119,9
2133,119,9
1793,119,9
2100,264,7
1741,119,9
1713,20,4
1903,79,4
1761,264,10
1944,20,9
1788,20,9
2097,79,4
1992,189,9
2094,264,6
2058,119,4
1781,119,9
1710,362,7
1710,119,5
1700,94,7
1700,79,4
1714,94,7
1714,399,6
1624,119,9
1710,20,9
1861,119,9
1994,16,6
1624,119,8
1713,189,9
1713,399,6
1720,79,4
1852,79,4
1710,78,6
1945,119,9
1710,119,7
1922,119,7
1954,22,5
1955,78,6
1766,200,5
2058,20,7
2044,119,4
1968,119,4
1951,78,7
1713,94,6
1622,189,9
2100,94,10
1711,94,7
1586,310,7
1670,310,2
2062,264,4
1768,119,9
1988,200,7
2053,189,5
1799,255,6
1580,119,5
1880,20,6
1623,119,9
2014,119,9
2014,94,9
1737,264,7
1756,94,10
1731,94,9
1587,94,9
1965,119,10
2060,200,10
1992,94,9
1617,200,5
1617,119,9
1974,287,8
1998,20,6
1883,399,10
1812,94,9
1617,189,9
1818,119,9
1647,94,9
1650,94,9
1655,94,9
1651,94,9
1641,94,9
1647,20,9
1834,399,9
1932,94,10
1893,20,6
1953,119,9
2105,264,7
1720,79,9
1710,79,4
2096,94,9
1980,119,9
1992,94,7
1971,119,9
1878,399,9
1814,399,9
2124,119,9
